question_ko,intent
그 작가 설명해줘,artist_info
그 이거 제목 알려줘,metadata_query
그 그 좀 이 작품 관련 작품 더 보여줘 가르쳐줘 설명해줘,related_works
음 여기 이 작품은 년도 알려줘 궁금해 말해줘,date_query
일단 자세히 이거 그린 사람가 누군지 알려줄래 설명해줘,artist_info
음 저 이 작품은 개요 좀 궁금해?,artwork_overview
그 혹시 살짝 만든 사람 어떤 사람이야 알려줘,artist_info
저 이거 미술적 특징 설명해줘,style_context
일단 이 살짝 저 화풍 설명해줘요 알려줘,style_context
일단 여기 이 작품 제작 연도 말해줘 궁금해,date_query
여기 조금 저 스타일이 어떤 느낌이야 궁금해?,style_context
혹시 저 재질 알려줘,metadata_query
음 혹시 이 작품 스타일이 어떤 느낌이야 가르쳐줘,style_context
혹시 혹시 저 질감 알려줘요 말해줘,medium_query
혹시 그 다시 말해줄래 말해줘,fallback
일단 그 이거 대략적으로 어떤 작품인지 알려줄래?,artwork_overview
음 이 살짝 작품명만 알려줄래,metadata_query
음 혹시 자세히 이거 재료가 뭐야 가르쳐줘,medium_query
저기 이거 재료 알려줘,medium_query
혹시 좀 작가 배경 설명해줘,artist_info
여기 조금 이 재료가 뭐야 가르쳐줘,medium_query
조금 이 작품 제작 연도 알려줘 가르쳐줘 알려줘,date_query
저거 자세히 이 개요 좀 알려줄래,artwork_overview
저 이건 관련 작품 더 보여줘 알려줄래,related_works
저거 자세히 이 질감 알려줘,medium_query
혹시 이 작품은 유사 작품 있어 가르쳐줘,related_works
음 그 살짝 이건 식별자 알려줘 설명해줘,metadata_query
그 혹시 자세히 이거 유사 작품 있어?,related_works
저 좀 저 무슨 시대에 만들어졌어 설명해줘,date_query
혹시 조금 만든 사람만 알려줄래,metadata_query
혹시 조금 더 구체적으로 말해줘요,fallback
저기 다시 말해줄래,fallback
음 그 이건 스타일이 어떤 느낌이야 가르쳐줘 말해줘,style_context
여기 언제만 알려줄래,metadata_query
일단 저 이 작품은 소재 알려줘 말해줘,medium_query
혹시 저거 조금 이 작품은 기법적 특징 설명해줘요 알려줘,style_context
일단 이건 스타일이 어떤 느낌이야?,style_context
혹시 저기 이 작품은 어떤 내용이야,artwork_overview
일단 일단 이 몇 년도 작품이야 궁금해?,date_query
살짝 이 작품은 관련 작품 더 보여줘 설명해줘,related_works
저 만든 사람에 대해 알려줘,artist_info
혹시 저기 자세히 저 재료가 뭐야 가르쳐줘 말해줘,medium_query
음 살짝 이 관련 작품 더 보여줘 가르쳐줘,related_works
저거 작가 배경 설명해줘 알려줘,artist_info
그 이건 미술적 특징 설명해줘 설명해줘,style_context
혹시 살짝 이 작품은 제작 연도 알려줘 알려줘 알려줘,date_query
조금 저 재료 뭐야,metadata_query
일단 이 작품 화풍 설명해줘,style_context
그 저 좀 저 무슨 시대에 만들어졌어?,date_query
조금 작가 배경 설명해줘 설명해줘,artist_info
음 저 좀 이 작품 대략적으로 어떤 작품인지 가르쳐줘 알려줘,artwork_overview
혹시 자세히 이거 사조 설명해줘 설명해줘,style_context
이 좀 이 작품은 소재 알려줘요,metadata_query
여기 좀 제작 연도만 알려줄래 설명해줘,metadata_query
일단 여기 조금 그린 사람 어떤 사람이야 가르쳐줘,artist_info
저 더 설명해줘,fallback
그 좀 저 제작 연도 알려줘요?,metadata_query
살짝 이거 기법적 특징 설명해줘,style_context
일단 좀 작가 배경 설명해줘,artist_info
음 저 저 작품에 대해 알려줘 가르쳐줘 말해줘,artwork_overview
혹시 여기 이 작품은 년도 말해줘 말해줘 설명해줘,date_query
그 자세히 이건 비슷한 작품 추천해줘요 알려줘,related_works
음 자세히 이 작품은 유사 작품 있어?,related_works
그 작가 배경 설명해줘,artist_info
음 저 더 설명해줘요 말해줘,fallback
음 살짝 이거 대략적으로 어떤 작품인지 가르쳐줘 설명해줘,artwork_overview
일단 일단 다시 말해줄래요?,fallback
혹시 이 작품은 질감 알려줘요?,medium_query
일단 저거 저 비슷한 작품 추천해줘 설명해줘,related_works
저거 살짝 이거 작품에 대해 알려줘 가르쳐줘,artwork_overview
혹시 여기 좀 제작 연도만 알려줄래 말해줘,metadata_query
그 저 만든 사람 어떤 사람이야 말해줘,artist_info
여기 조금 이 작품은 유사 작품 있어 궁금해,related_works
그 여기 다시 말해줄래요 말해줘,fallback
혹시 혹시 살짝 이 질감 알려줘?,medium_query
일단 이 좀 작가 배경 설명해줘요 말해줘,artist_info
그 여기 이 재질 뭐야 가르쳐줘 알려줘,metadata_query
혹시 혹시 자세히 이 작품 비슷한 작품 추천해줘요 말해줘,related_works
일단 여기 이 작품은 어떤 재료 사용했어 알려줄래,medium_query
저 조금 작가 설명해줘 말해줘,artist_info
이거 스타일이 어떤 느낌이야?,style_context
일단 조금 더 구체적으로 말해줘 말해줘,fallback
일단 일단 몇 년도만 알려줄래요?,metadata_query
저거 이거 언제 만들어졌어,date_query
그 저기 이 작품은 미술적 특징 설명해줘요,style_context
저기 조금 더 구체적으로 가르쳐줘?,fallback
저 조금 이 작품에 대해 알려줘 알려줘,artwork_overview
이 작품 어떤 재료 사용했어 말해줘,medium_query
혹시 여기 자세히 그린 사람 어떤 사람이야 알려줄래 설명해줘,artist_info
그 여기 저 오브젝트 아이디 알려줘요 말해줘,metadata_query
저기 살짝 이 작품 개요 좀 가르쳐줘,artwork_overview
그 이 작품은 어떤 재료 사용했어 알려줄래,medium_query
저거 살짝 이거 몇 년도 작품이야 말해줘,date_query
여기 이 비슷한 작품 추천해줘요,related_works
혹시 여기 자세히 그린 사람 어떤 사람이야 알려줄래 말해줘,artist_info
이건 유사 작품 있어 궁금해,related_works
혹시 저거 작가 배경 설명해줘,artist_info
그 혹시 이 작품 개요 좀?,artwork_overview
혹시 다시 말해줄래,fallback
음 저거 조금 이 작품은 재료가 뭐야 알려줘 알려줘,medium_query
저 만든 사람 어떤 사람이야 알려줘,artist_info
혹시 이 살짝 예술가에 대해 알려줘 말해줘,artist_info
음 살짝 저 화풍 설명해줘 설명해줘,style_context
저기 좀 이 작품은 소재 알려줘요 말해줘,medium_query
저거 작가 배경 설명해줘,artist_info
그 이 이건 관련 작품 더 보여줘,related_works
일단 이 부서 뭐야 말해줘 말해줘,metadata_query
혹시 혹시 이건 유사 작품 있어 가르쳐줘 알려줘,related_works
저거 잘 이해 못했어요?,fallback
음 혹시 더 설명해줘 알려줘,fallback
혹시 여기 살짝 저 전체적으로 어떤 작품인지 설명해줘,artwork_overview
조금 이 작품 개요 좀 가르쳐줘,artwork_overview
조금 이건 배경 설명해줘요,style_context
그 이거 무슨 시대에 만들어졌어 알려줄래 말해줘,date_query
조금 작품명만 알려줄래,metadata_query
그 혹시 이 작품은 어떤 내용이야 말해줘 설명해줘,artwork_overview
그 여기 조금 더 구체적으로 말해줘 말해줘,fallback
